filename	transcription
common_voice_ca_31378986.wav	per altra banda la seva seqüència numèrica no és fidel a l'ordre de composició
common_voice_ca_31340819.wav	el meu pare es lliuraran fabián f a b i a n
upc_ca_pau_101059.wav	no sé si és manca de coratge manca de personalitat el que veuen una manca de coratge i manca de personalitat els agents camp de compondre aquest triangle trinitaris catí un misteri que vostè encara no ens ha resolt
common_voice_ca_31169713.wav	quim costa i que els amics dia és un arquitecte contemporani nascut a barceló
common_voice_ca_30791849.wav	un home sosté un paraigua una vorera molt transitada
common_voice_ca_31083166.wav	va evitar una crisi més gran i va salvar el mar
common_voice_ca_31792858.wav	a vint-i-tres de maig marcarà lina mireia iran al cine
upc_ca_pau_101070.wav	per tant votarem favorablement aquesta proposició no de llei a més tenen un component pedagògic que realment és d'agrair
common_voice_ca_31148020.wav	fins i tot en una disputa d'un contra un altre era possible
upc_ca_pau_101022.wav	en tot cas ells tindran a partir d'ara un vuitanta-set per cent de les accions i a nosaltres només ens en quedarà un dreta un teresa sí perquè tenien als cinquanta-dos més el trenta-cinc vuitanta-set quedem amb altre gent
common_voice_ca_31480904.wav	els actors eren set crim josh curs això immens rei i tot timbre
upc_ca_ona_100029.wav	aquesta llei contemplarà la situació de les vint-i-nou mil persones que arriben pensions no contributives de jubilació o les trenta un amic persones que reben pensions no contributives d'invalidesa
common_voice_ca_30957869.wav	estos ni sospita que la mà l'amor s'havia convertit en una ecosistema
upc_ca_ona_100072.wav	i és un refugi biològic al riu tort curiosament i és un refugi biològic des de fa molts anys potser portem quinze anys o divuit anys com a refugi biològic
common_voice_ca_31063184.wav	en els textos el cap d'estat i de vegades amplis poders
common_voice_ca_31361137.wav	he d'anar al carrer del segura al carrer
common_voice_ca_31147959.wav	dos no es barallen si un no
common_voice_ca_20170672.wav	consta de planta amb molt poca alçada i un bis
common_voice_ca_31486252.wav	la cinta és mort a infants cada els estat maker
upc_ca_pau_101026.wav	nosaltres ho farem al revés de com ho volen pretendre vostès vostès incrementant el cànon per tant accentuant la no competitivitat per tant invitant a la deslocalització
common_voice_ca_31295592.wav	com va anar l'operació
upc_ca_pau_101092.wav	per tant doncs una part de l'eix de les gavarres com a mínim pensem que caldria desdoblar-la fins a palamós
upc_ca_pau_101086.wav	debat i votació del grup parlamentari d'iniciativa per catalunya-verds juntament amb un altre diputat del grup
common_voice_ca_31365503.wav	hi ha algun negoci al carrer baró de forallac cantonada baró d esponellà
upc_ca_pau_101057.wav	és a dir és passar per damunt navegant no és un element transformador tal com està redactat àrab perquè no va al fons
common_voice_ca_31464803.wav	la font el sisè un quaranta-u durant nou seixanta
upc_ca_pau_101025.wav	direu el projecte és un mal projecte la idea de la línia xii
common_voice_ca_31798277.wav	dimarts angulo i na neus iran a carcaixent
upc_ca_ona_100002.wav	molt breument li volem agrair doncs les seves exposicions tant la d'ahir com avui a les seves respostes en nom del nostre grup parlamentari
common_voice_ca_31363197.wav	gairebé dos terços d'elles es troben en els estats que alguna vegada van ser confederat
upc_ca_pau_101083.wav	ell només se'n recorda del nom li diuen que vagi a la policia i ell diu que no sap on és i què no se'n recorda
common_voice_ca_31417564.wav	amb els pares no busco verge de baixa i rellegir
upc_ca_pau_101003.wav	volem desitjar-li èxits per aquesta jornades doncs que organitza la setmana entrant la federació iberoamericana de voluntaris aquí a barcelona i també èxit de la seva presidència europea també de voluntaris
common_voice_ca_31121147.wav	vull anar sant joan de les abadesses amb trenc
upc_ca_ona_100048.wav	el mes de juny de l'any dos mil el secretari general de l'esport va trametre a la secretaria general del departament un nou avantprojecte sobre funcions organització i funcionament del consell
upc_ca_pau_101068.wav	i llavors el rector així diu s'ha de dir això perquè no passi això
upc_ca_ona_100015.wav	tot i que també de dir que són coneixedors de l'àmbit de l'espai que té aquest centre d'assistència primària de palafrugell i probablement en podríem dir que no hi cap
common_voice_ca_30886881.wav	afegeix a la gent del número de la fàtima el candidat i cinquanta-vuit seixanta-dos dels cinquanta
upc_ca_ona_100105.wav	fa tres anys no tenia les dues bessones les dues bessones de sis anys han arribat ara no no és cert l'any que ve hi haurà xiii nens
common_voice_ca_31337800.wav	reis fa bullir llavors raig aquests per entrevistar-se amb el primer ministre ara wilson
common_voice_ca_20325543.wav	el cap de dos anys estava donant calaix de la mateixa social
upc_ca_pau_101013.wav	això no vol dir que la xarxa no ha de ser flexible flexible per als diferents menorca ja no només flexible entre els autòctons i els que vénen sols és que també entre els autòctons i hauria d'haver flexibilitat
upc_ca_pau_101032.wav	això sí que em reconeix hi treballem perquè no hi havia producte
upc_ca_pau_101028.wav	de conformitat amb la disposició final primera i el que estableix l'article cent onze puro del reglament del parlament de catalunya l'aprovació de la proposta de reforma del reglament del parlament requereix l'aprovació en votació final per la majoria absoluta
common_voice_ca_30759190.wav	alhora més i més diari romanesos van publicar història sobre això
common_voice_ca_31434398.wav	actualment es troba en una antiga del pla en d'europa
common_voice_ca_30778960.wav	malauradament no parlem de la meua prudència
upc_ca_ona_100038.wav	i ves per on aquest debat polític i acadèmic i academicista del federalisme ha trobat un millor acomodament en aquesta invasió i la interferència de les noves tecnologies concretar amb pedaços de federalisme
upc_ca_ona_100045.wav	a la resta del territori
common_voice_ca_31246492.wav	menja estrelles de mar crustaci cops mol·luscs i pagès
common_voice_ca_31295233.wav	danses morgades i martí és un diàleg i periodista especialitzat en gastronomia nascut a vilanova i la geltrú
common_voice_ca_31320906.wav	era propietari de l'àngel mil mans kirkuk faus que regentava fora de temporada
common_voice_ca_31107626.wav	he d'anar al carrer del rec comtal amb tren
common_voice_ca_31239888.wav	també escrigué cançons música per a piano coral orquestral i per al cinema
upc_ca_pau_101010.wav	per tant no puc
common_voice_ca_31376532.wav	després d'una escala de dos dies en alta mar es va dirigir cap a la costa oest
common_voice_ca_31811566.wav	el nou d'octubre en marc i na carla aniran a punt
upc_ca_ona_100078.wav	llavors vostè envia això de molts microtalls a mi m ha semblat que abonar va una tesi semblant al cas dels aparells de refrigeració home no és aquesta són talls
upc_ca_ona_100055.wav	quedo lucinat és el que ens proposen les confraries de cor això ja ho sé que és el que els proposen les confraries
common_voice_ca_31373745.wav	durant la seva carrera va jugar a l'arsenal el ni dels grups i el cul city
common_voice_ca_30816585.wav	els homes adoni pam es van apropar els terraplens musicals de més al sud titulats per les millors tapes
common_voice_ca_31296815.wav	qui organitzarà obra de teatre dels nens
common_voice_ca_31302775.wav	el meu pare es diu martí pita bé i té a
common_voice_ca_31414645.wav	pere darder i vidal és un pedagog i escriptor nascut a barcelona
upc_ca_pau_101044.wav	no hi ha cap més esport arreu del món però jo parlo per catalunya que paga per na a practicar l'esport
common_voice_ca_31696838.wav	el déu d'agost nazi gaire d'excursió
common_voice_ca_31811117.wav	m'ha passat en què havia jordi aniran a blanes
upc_ca_pau_101090.wav	el que sí que hem fet ha estat anar intentant reconduir-lo perquè no fos tan dolent com el principi
upc_ca_ona_100077.wav	b o sigui van demanava les xifres aquestes xifres les hi donaré perquè les hem de revisar
upc_ca_ona_100071.wav	b la necessitat d'una escola de primària a vallgorguina consell per vallgorguina està claríssim
common_voice_ca_31345769.wav	aquest cap de setmana m'agradaria anar
common_voice_ca_31326681.wav	el cor de pare pels angoixes de sobre
upc_ca_ona_100034.wav	és que era una llista era un inventari
upc_ca_pau_101046.wav	però el més greu amb relació a les dades d'intensitat a pas de vehicles és que d'aquests vehicles concretament tres mil sis-cents quaranta-dos s'estima que seran vehicles pesants
upc_ca_ona_100069.wav	en l'europa del futur però l'europa del futur vol dir l'europa de demà mateix a l'europa del futur només i sobreviuran aquelles nacions que tinguin una projecció cultural sòlida sòlida en el context universal i individualitzada en aquest context
upc_ca_ona_100106.wav	i el mateix consell d'administració va ser qui ens va requerir que explorer cim les vies del contracte de prestació de servei
common_voice_ca_31345505.wav	per ells l'assentament primer va vendre d'alevins
common_voice_ca_31503560.wav	estudià a càller on es graduà en dret civil i canònic
common_voice_ca_31075454.wav	
upc_ca_ona_100062.wav	el nomenament del nou director serà en aquest sentit fonamentals i desitgem que no respongui als criteris anteriors sinó que respongui als criteris que vostè ha explicat
upc_ca_ona_100008.wav	és a dir la primera és anem a l'emergència mogent mitjans vins de l'emergència treballem dins de l'emergència
upc_ca_pau_101051.wav	raula suposo que per la petició calia per l'il·lustre diputats senyor xavier soy
common_voice_ca_31173900.wav	mireia agonia oliveres és una professora i política en els fons
upc_ca_ona_100025.wav	era un mal projecte és un mal projecte la idea de la línia xii
common_voice_ca_31167999.wav	jaume roig i padró va ser un metge i polític nascut arrel
upc_ca_pau_101078.wav	home no és aquesta són talls
common_voice_ca_31390571.wav	quina és la millor manera d'arribar a la plaça de lleida i de mandy algues
upc_ca_pau_101106.wav	i el mateix consell d'administració va ser qui ens va requerir explorer cim les vies del contracte de prestació de serveis
upc_ca_pau_101075.wav	vostè ens ha parlat de l'esforç inversor de l'institut català de finances i del papir del pressupost de la generalitat
common_voice_ca_17852479.wav	
common_voice_ca_27232411.wav	es van posar el nom de rasputin per una de les tradicions perquè
upc_ca_ona_100087.wav	finalment plantegem que mentre no es faci aquest nou pla director amb aquests criteris que nosaltres plantegem doncs no hi hagi més nous camps de golf en el territori català
common_voice_ca_31376805.wav	albert centrals són apuntats i els laterals rodons
common_voice_ca_31074124.wav	viu amb una agricultura de subsistència
upc_ca_pau_101061.wav	i precisament per aquest motiu no es podrà implantar sempre hem dit que qualsevol iniciativa cavall encaminada a d un ella m català o un sistema de mesurament per a les emissores catalanes
upc_ca_pau_101049.wav	aquest projecte d'alguna manera intentava donar resposta al que els ha expressat anteriorment separar desglossar tot el que era govern del que sona estructura i funcionament
common_voice_ca_31089515.wav	va anar a la cova amb lenta la filla menor del seu pare adoptiu
common_voice_ca_31149064.wav	en són exemples el llim o
upc_ca_ona_100107.wav	evidentment millorables evidentment dotant-les evidentment dotant-les en termes tecnològics i mar
common_voice_ca_30746873.wav	a les belles ha publicat un llibre titulat moren més màgics en dos cotxes
common_voice_ca_31135093.wav	com a debutant gana i es va comprometre desenvolupar un estil de joc de sanció
common_voice_ca_31078509.wav	entrenador d'infants i diverses esglésies
upc_ca_pau_101037.wav	realment el ceip no es poden tocar perquè són decrets reials vull dir que no es pot tocar però jo crec que de mica en mica ho anirem tocat
upc_ca_ona_100100.wav	el vint-i-vuit vuitè és una iniciativa una proposició no de llei sobre la necessitat de dotar el municipi de teià a la comarca del maresme d'un institut d'ensenyament secundari és una iniciativa impulsada per tots els grups parlamentar
